r,l,t,cum_timesteps,success_proxy
-6.393977,60,493.747449,30660,False
-7.189777,60,493.748449,30720,False
-6.37389,60,498.020009,30780,False
-6.028984,60,498.030594,30840,False
-7.05065,60,498.030594,30900,False
-6.399965,60,498.032601,30960,False
-7.45449,60,501.227707,31020,False
-6.064924,60,501.238292,31080,False
-6.154864,60,501.244843,31140,False
-6.50857,60,501.246827,31200,False
-7.636995,60,505.598416,31260,False
-5.817886,60,505.605773,31320,False
-7.251527,60,505.606774,31380,False
-6.055269,60,505.609001,31440,False
-6.10148,60,508.83251,31500,False
-6.351091,60,508.840029,31560,False
-6.681237,60,508.842091,31620,False
-6.311387,60,508.843096,31680,False
-6.364008,60,513.673134,31740,False
-5.645853,60,513.679723,31800,False
-6.069474,60,513.679723,31860,False
-6.996847,60,513.679723,31920,False
-6.660142,60,517.552036,31980,False
-6.135554,60,517.559622,32040,False
-5.0937,60,517.562622,32100,False
-5.988969,60,517.563617,32160,False
-6.168993,60,522.39799,32220,False
-6.552546,60,522.411567,32280,False
-5.641325,60,522.411567,32340,False
-6.444878,60,522.418482,32400,False
-6.12777,60,526.441731,32460,False
-5.944378,60,526.447347,32520,False
-6.201439,60,526.447347,32580,False
-6.441707,60,526.455317,32640,False
-6.461502,60,531.083761,32700,False
-7.1974,60,531.09231,32760,False
-6.460291,60,531.095347,32820,False
-5.957101,60,531.095347,32880,False
-7.413692,60,534.784233,32940,False
-7.027912,60,534.788818,33000,False
-6.073174,60,534.79082,33060,False
-7.557299,60,534.797824,33120,False
-6.164374,60,539.788753,33180,False
-7.21054,60,539.799338,33240,False
-6.359478,60,539.803336,33300,False
-6.270998,60,539.803336,33360,False
-7.422326,60,543.471071,33420,False
-6.575549,60,543.482652,33480,False
-5.611038,60,543.484652,33540,False
-7.576088,60,543.485651,33600,False
-6.8666,60,549.175771,33660,False
-5.745451,60,549.182359,33720,False
-6.701761,60,549.186357,33780,False
-7.514729,60,549.188357,33840,False
-7.033364,60,553.320246,33900,False
-5.888758,60,553.32982,33960,False
-6.179056,60,553.333834,34020,False
-5.389856,60,553.333834,34080,False
-6.39468,60,558.27485,34140,False
-6.398637,60,558.28444,34200,False
-6.823462,60,558.285436,34260,False
-6.343598,60,558.286436,34320,False
-7.071501,60,561.957385,34380,False
-7.240156,60,561.964967,34440,False
-8.010064,60,561.964967,34500,False
-6.296705,60,561.966968,34560,False
-5.770903,60,566.062204,34620,False
-7.105042,60,566.075789,34680,False
-6.478743,60,566.076824,34740,False
-6.919688,60,566.077834,34800,False
-6.386184,60,570.947609,34860,False
-5.847381,60,570.950186,34920,False
-6.298233,60,570.954216,34980,False
-5.937971,60,570.956202,35040,False
-7.325707,60,574.77077,35100,False
-6.208797,60,574.781356,35160,False
-6.342155,60,574.783357,35220,False
-5.485808,60,574.785358,35280,False
-7.015052,60,579.668102,35340,False
-7.431844,60,579.678687,35400,False
-7.107401,60,579.679688,35460,False
-6.710998,60,579.679688,35520,False
-6.510644,60,583.526331,35580,False
-7.394769,60,583.536917,35640,False
-5.816898,60,583.539916,35700,False
-6.538001,60,583.539916,35760,False
-6.837338,60,588.96887,35820,False
-6.238272,60,588.976505,35880,False
-7.234036,60,588.977493,35940,False
-6.562856,60,588.979456,36000,False
-6.105651,60,593.391068,36060,False
-6.857672,60,593.401654,36120,False
-6.641994,60,593.401654,36180,False
-5.745933,60,593.402655,36240,False
-5.907022,60,599.279546,36300,False
-6.464089,60,599.290131,36360,False
-6.022081,60,599.290752,36420,False
-6.054156,60,599.290752,36480,False
-6.763275,60,603.234703,36540,False
-6.068533,60,603.246844,36600,False
-5.568753,60,603.250365,36660,False
-7.278181,60,603.255369,36720,False
-7.430875,60,608.083346,36780,False
-5.257658,60,608.095904,36840,False
-6.52045,60,608.096902,36900,False
-6.487431,60,608.100469,36960,False
-6.847289,60,612.132917,37020,False
-6.443629,60,612.141507,37080,False
-7.10235,60,612.146503,37140,False
-7.161508,60,612.151499,37200,False
-7.584829,60,617.107107,37260,False
-6.359994,60,617.122743,37320,False
-6.158431,60,617.126343,37380,False
-7.318353,60,617.127343,37440,False
-7.026971,60,620.748967,37500,False
-7.021985,60,620.760556,37560,False
-5.925721,60,620.764552,37620,False
-7.283588,60,620.765552,37680,False
-6.585003,60,625.527174,37740,False
-6.638795,60,625.53776,37800,False
-5.981382,60,625.53776,37860,False
-6.022055,60,625.538763,37920,False
-6.870228,60,629.25228,37980,False
-6.035251,60,629.262866,38040,False
-7.166557,60,629.270499,38100,False
-6.082835,60,629.275495,38160,False
-7.619314,60,632.945499,38220,False
-7.063135,60,632.960091,38280,False
-6.565784,60,632.962089,38340,False
-6.133234,60,632.963087,38400,False
-6.710064,60,637.717239,38460,False
-6.892109,60,637.731851,38520,False
-7.249116,60,637.736381,38580,False
-6.025921,60,637.738379,38640,False
-6.676286,60,641.448268,38700,False
-7.172213,60,641.459853,38760,False
-6.476192,60,641.46185,38820,False
-5.951476,60,641.463846,38880,False
-6.775275,60,646.291818,38940,False
-5.389581,60,646.300405,39000,False
-5.866924,60,646.301403,39060,False
-6.473319,60,646.303406,39120,False
-6.186407,60,649.939616,39180,False
-6.681289,60,649.953201,39240,False
-7.582629,60,649.953201,39300,False
-6.19159,60,649.955733,39360,False
-6.393944,60,654.734781,39420,False
-6.07909,60,654.744374,39480,False
-6.283614,60,654.746363,39540,False
-6.536497,60,654.747406,39600,False
-5.758969,60,658.369498,39660,False
-6.380095,60,658.377106,39720,False
-5.934147,60,658.377106,39780,False
-6.432589,60,658.378097,39840,False
-7.387214,60,663.19725,39900,False
-7.739902,60,663.204828,39960,False
-6.14298,60,663.205835,40020,False
-5.912198,60,663.208835,40080,False
-6.203825,60,666.799466,40140,False
-6.569131,60,666.810052,40200,False
-5.914996,60,666.81605,40260,False
-5.774279,60,666.818052,40320,False
