r,l,t,cum_timesteps,success_proxy
-6.716523,60,538.009796,36540,False
-7.527918,60,538.079587,36600,False
-6.190409,60,538.08158,36660,False
-5.767961,60,538.083578,36720,False
-7.49955,60,541.630176,36780,False
-6.468479,60,541.699959,36840,False
-6.500118,60,541.700955,36900,False
-5.368294,60,541.702953,36960,False
-6.819595,60,544.425453,37020,False
-7.095041,60,544.494233,37080,False
-6.526384,60,544.50824,37140,False
-7.1814,60,544.509228,37200,False
-7.573107,60,548.111033,37260,False
-6.404167,60,548.171824,37320,False
-7.307944,60,548.176817,37380,False
-6.925711,60,548.176817,37440,False
-6.897925,60,550.959377,37500,False
-6.868323,60,551.021445,37560,False
-7.696205,60,551.024751,37620,False
-5.194363,60,551.027088,37680,False
-6.723468,60,554.632198,37740,False
-6.009242,60,554.696986,37800,False
-6.688444,60,554.698985,37860,False
-5.877452,60,554.702977,37920,False
-6.85098,60,557.375334,37980,False
-7.215115,60,557.44511,38040,False
-5.837104,60,557.447109,38100,False
-6.041532,60,557.45358,38160,False
-7.484367,60,560.215476,38220,False
-7.004383,60,560.278266,38280,False
-6.533605,60,560.28326,38340,False
-6.202877,60,560.28326,38400,False
-6.65819,60,563.903289,38460,False
-7.373311,60,563.96702,38520,False
-6.825003,60,563.969019,38580,False
-5.771162,60,563.976059,38640,False
-6.650204,60,566.71547,38700,False
-6.489525,60,566.783262,38760,False
-5.932542,60,566.78425,38820,False
-7.103598,60,566.786249,38880,False
-6.82363,60,570.400531,38940,False
-6.13152,60,570.462939,39000,False
-6.480706,60,570.464937,39060,False
-6.022962,60,570.47131,39120,False
-5.949898,60,573.145133,39180,False
-7.499667,60,573.209924,39240,False
-6.154211,60,573.215913,39300,False
-6.690517,60,573.218909,39360,False
-6.61964,60,576.815139,39420,False
-6.532811,60,576.886966,39480,False
-6.129995,60,576.887481,39540,False
-6.26326,60,576.89413,39600,False
-6.42742,60,579.811354,39660,False
-5.851433,60,579.878132,39720,False
-6.57706,60,579.881127,39780,False
-6.463566,60,579.882133,39840,False
-7.441735,60,583.593599,39900,False
-5.84118,60,583.659383,39960,False
-7.665819,60,583.665379,40020,False
-6.006262,60,583.669371,40080,False
-5.287203,60,586.353987,40140,False
-6.108965,60,586.416774,40200,False
-5.708102,60,586.420761,40260,False
-6.606761,60,586.427768,40320,False
